hcc_code,enrollment_segment,coefficient,detail_key,representative_icd
HCC249,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC249,I6300
HCC249,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC249,I6300
HCC253,CNA,0.387,CNA_HCC253,G8100
HCC253,CND,0.32,CND_HCC253,G8100
HCC253,CFA,0.437,CFA_HCC253,G8100
HCC253,CFD,0.39,CFD_HCC253,G8100
HCC253,CPA,0.437,CPA_HCC253,G8100
HCC253,CPD,0.403,CPD_HCC253,G8100
HCC253,INS,0.0,INS_HCC253,G8100
HCC253,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC253,G8100
HCC253,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC253,G8100
HCC254,CNA,0.321,CNA_HCC254,G830
HCC254,CND,0.172,CND_HCC254,G830
HCC254,CFA,0.292,CFA_HCC254,G830
HCC254,CFD,0.365,CFD_HCC254,G830
HCC254,CPA,0.29,CPA_HCC254,G830
HCC254,CPD,0.335,CPD_HCC254,G830
HCC254,INS,0.0,INS_HCC254,G830
HCC254,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC254,G830
HCC254,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC254,G830
HCC263,CNA,1.118,CNA_HCC263,A480
HCC263,CND,1.066,CND_HCC263,A480
HCC263,CFA,1.432,CFA_HCC263,A480
HCC263,CFD,1.276,CFD_HCC263,A480
HCC263,CPA,1.007,CPA_HCC263,A480
HCC263,CPD,1.056,CPD_HCC263,A480
HCC263,INS,0.696,INS_HCC263,A480
HCC263,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC263,A480
HCC263,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC263,A480
HCC264,CNA,0.455,CNA_HCC264,I70221
HCC264,CND,0.52,CND_HCC264,I70221
HCC264,CFA,0.498,CFA_HCC264,I70221
HCC264,CFD,0.461,CFD_HCC264,I70221
HCC264,CPA,0.513,CPA_HCC264,I70221
HCC264,CPD,0.622,CPD_HCC264,I70221
HCC264,INS,0.338,INS_HCC264,I70221
HCC264,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC264,I70221
HCC264,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC264,I70221
HCC267,CNA,0.294,CNA_HCC267,I2601
HCC267,CND,0.431,CND_HCC267,I2601
HCC267,CFA,0.445,CFA_HCC267,I2601
HCC267,CFD,0.568,CFD_HCC267,I2601
