metric_name,dimension,label
avg_acceptance_rate,department,Department
avg_acceptance_rate,insurance_group,Insurance Group
avg_acceptance_rate,is_reviewed_by_provider,Reviewed?
avg_acceptance_rate,is_scrubbed,Scrubbed?
avg_acceptance_rate,provider_name,Provider
avg_age,clinic,Clinic
avg_age,enrollment_status,Enrollment Status
avg_age,membership_membership_status,Membership Status
avg_age,is_active_member,Is Active Member
avg_age,is_attributed,Attributed?
avg_age,is_grandmothered_member,Is Grandmothered Member
avg_age,is_membership_patient,Membership Patient
avg_age,is_paying_member,Is Paying Member
avg_age,member_category,Member Category
avg_age,membership_enrollment,Membership Enrollment
avg_age,membership_plan_type,Plan Type
avg_age,patient_status,Patient Status
avg_age,payment_status,Payment Status
avg_age,primary_insurance,Primary Insurance
avg_age,primary_payor,Primary Payor
avg_age,risk_tier,Risk Tier
avg_awv_rate,assigned_clinic,Assigned Clinic
avg_awv_rate,awv_tier,AWV Tier
avg_awv_rate,clinic_standardized,Clinic
avg_awv_rate,hcc_tier,HCC Tier
avg_awv_rate,is_bonus_eligible,Bonus Eligible
avg_awv_rate,next_visit_tier,Next Visit Tier
avg_awv_rate,nps_tier,NPS Tier
avg_awv_rate,provider_name,Provider
avg_awv_rate,provider_type,Provider Type
avg_awv_rate,quality_tier,Quality Tier
avg_bonus_amount,assigned_clinic,Assigned Clinic
avg_bonus_amount,awv_tier,AWV Tier
avg_bonus_amount,clinic_standardized,Clinic
avg_bonus_amount,hcc_tier,HCC Tier
avg_bonus_amount,is_bonus_eligible,Bonus Eligible
avg_bonus_amount,next_visit_tier,Next Visit Tier
avg_bonus_amount,nps_tier,NPS Tier
avg_bonus_amount,provider_name,Provider
avg_bonus_amount,provider_type,Provider Type
avg_bonus_amount,quality_tier,Quality Tier
avg_call_duration,attempt_number,Attempt Number
avg_call_duration,call_outcome,Call Outcome
avg_call_duration,campaign_name,Campaign
avg_call_duration,clinic,Clinic
avg_call_duration,failure_category,Failure Category
avg_call_duration,is_escalated_or_negative,Escalated or Negative?
